City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,bluff,-46.6,168.3333,52.81,67,79,25.7,NZ,1675807434
84,caravelas,-17.7125,-39.2481,78.12,83,0,8.5,BR,1675807434
85,andros town,24.7,-77.7667,75.16,61,87,17.63,BS,1675807435
86,cabo san lucas,22.8909,-109.9124,80.62,55,20,5.75,MX,1675807435
87,tuktoyaktuk,69.4541,-133.0374,-27.4,75,100,3.44,CA,1675807435
88,ponta do sol,32.6667,-17.1,59.63,63,13,4.54,PT,1675807200
89,lodja,-3.4833,23.4333,73.94,76,100,2.39,CD,1675807436
90,novomikhaylovskiy,44.2581,38.8578,26.96,80,100,20.67,RU,1675807436
91,adjumani,3.3779,31.7909,76.69,28,7,1.39,UG,1675807436
92,saldanha,-33.0117,17.9442,64.45,88,37,21.81,ZA,1675807437
93,port lincoln,-34.7333,135.8667,67.32,75,2,12.88,AU,1675807437
94,magadan,59.5667,150.8,-19.98,80,51,7.99,RU,1675807438
95,wloclawek,52.6482,19.0678,29.52,80,100,1.43,PL,1675807149
96,crib point,-38.35,145.2,63.41,76,51,5.01,AU,1675807438
97,bengkulu,-3.8004,102.2655,74.84,83,92,5.08,ID,1675807438
98,severo-kurilsk,50.6789,156.125,21.18,62,57,10.74,RU,1675807439
99,pecos,31.4229,-103.4932,54.25,43,100,13.8,US,1675807439
100,grand gaube,-20.0064,57.6608,81.0,83,21,5.01,MU,1675807439
101,vaini,-21.2,-175.2,82.56,89,75,10.36,TO,1675807440
102,mapili,11.1081,122.7393,72.19,94,100,5.35,PH,1675807440
103,thinadhoo,0.5333,72.9333,80.98,71,89,3.78,MV,1675807440
104,touros,-5.1989,-35.4608,79.99,68,62,16.28,BR,1675807441
105,yellowknife,62.456,-114.3525,-1.68,78,75,9.22,CA,1675807272
106,lhokseumawe,5.1801,97.1507,76.03,85,99,1.95,ID,1675807441
107,avarua,-21.2078,-159.775,84.25,79,20,11.5,CK,1675807321
108,mecca,21.4267,39.8261,64.99,50,96,10.0,SA,1675807271
109,namibe,-15.1961,12.1522,71.02,75,69,9.73,AO,1675807442
110,zwedru,6.0667,-8.1281,73.13,93,90,3.02,LR,1675807444
111,ambon,-3.6954,128.1814,78.94,89,40,2.3,ID,1675807445
112,nibbar,36.2941,8.7666,47.08,93,40,11.5,TN,1675807445
113,georgetown,5.4112,100.3354,78.73,94,20,3.44,MY,1675807180
114,saint george,37.1041,-113.5841,54.25,33,0,1.01,US,1675807424
115,enid,36.3956,-97.8784,54.01,44,100,12.66,US,1675807446
116,castro,-24.7911,-50.0119,67.15,86,11,6.33,BR,1675807446
117,mount gambier,-37.8333,140.7667,58.69,74,5,9.4,AU,1675807447
118,la asuncion,11.0333,-63.8628,76.51,83,98,16.2,VE,1675807448
119,kriel,-26.2739,29.2253,63.81,93,59,6.35,ZA,1675807448
120,jauharabad,32.2898,72.2813,54.55,34,99,3.24,PK,1675807449
121,nelson bay,-32.7167,152.15,79.0,73,29,7.0,AU,1675807451
122,skjervoy,70.0311,20.9714,39.2,69,74,33.11,NO,1675807451
123,dudinka,69.4058,86.1778,-13.14,100,94,3.47,RU,1675807451
124,marsh harbour,26.5412,-77.0636,71.64,62,3,16.93,BS,1675807452
125,iqaluit,63.7506,-68.5145,-27.31,74,75,5.75,CA,1675807232
126,kamina,-8.7386,24.9906,63.63,97,100,3.96,CD,1675807453
127,rawson,-43.3002,-65.1023,69.87,47,33,16.13,AR,1675807201
128,haines junction,60.7522,-137.5108,24.75,86,88,2.3,CA,1675807454
129,ampanihy,-24.7,44.75,75.04,68,100,6.11,MG,1675807454
130,meulaboh,4.1363,96.1285,75.04,83,100,2.55,ID,1675807454
131,kavieng,-2.5744,150.7967,81.43,78,100,8.99,PG,1675807455
132,beloha,-25.1667,45.05,73.35,85,100,6.2,MG,1675807250
133,tulagi,-9.0996,160.1476,81.25,79,100,7.47,SB,1675807455
134,mikhaylovka,50.06,43.2379,10.78,90,14,13.58,RU,1675807456
135,linfen,36.0889,111.5189,42.69,45,100,5.86,CN,1675807456
136,norman wells,65.282,-126.8329,-9.36,70,75,3.44,CA,1675807457
137,bunol,39.4167,-0.7833,45.9,84,98,2.3,ES,1675807458
138,los andes,-32.8337,-70.5983,86.02,27,0,8.7,CL,1675807459
139,tulsipur,28.131,82.2973,52.52,56,0,5.26,NP,1675807460
140,victoria,22.2855,114.1577,64.94,93,91,8.99,HK,1675807191
141,laguna,38.421,-121.4238,61.18,57,0,3.44,US,1675807460
142,nantucket,41.2835,-70.0995,35.65,78,100,3.44,US,1675807461
143,kapaa,22.0752,-159.319,80.92,83,40,11.5,US,1675807428
144,tual,-5.6667,132.75,82.09,77,100,21.99,ID,1675807462
145,mamallapuram,12.6264,80.1722,75.25,76,7,1.88,IN,1675807462
146,elko,41.0002,-115.5012,34.23,72,50,7.0,US,1675807244
147,nabire,-3.3667,135.4833,74.48,91,100,3.15,ID,1675807463
148,sivas,39.7916,37.0019,14.63,85,100,11.5,TR,1675807464
149,kamenka,51.3223,42.7678,7.57,95,9,8.75,RU,1675807465
150,lerwick,60.1545,-1.1494,44.6,75,5,30.09,GB,1675807465
151,novi pazar,43.1367,20.5122,15.91,91,19,3.89,RS,1675807466
152,koungheul,13.9833,-14.8,79.88,16,6,9.51,SN,1675807467
153,nioro,13.35,-15.75,80.87,16,19,7.31,GM,1675807468
154,vangaindrano,-23.35,47.6,72.37,88,93,1.74,MG,1675807468
155,pevek,69.7008,170.3133,-22.23,95,100,2.8,RU,1675807470
156,dunedin,-45.8742,170.5036,56.23,62,37,18.43,NZ,1675807413
157,torbay,47.6666,-52.7314,24.39,82,75,21.99,CA,1675807423
158,lucea,18.451,-78.1736,82.26,73,4,19.37,JM,1675807471
159,okha,53.5739,142.9478,-13.25,92,100,5.88,RU,1675807471
160,srednekolymsk,67.45,153.6833,-32.28,99,100,5.26,RU,1675807471
161,alamosa,37.4695,-105.87,39.18,19,0,4.61,US,1675807294
162,bystryy istok,52.371,84.3873,15.8,96,100,4.76,RU,1675807472
163,baruun-urt,46.6806,113.2792,-5.48,90,4,5.41,MN,1675807473
164,suraabad,40.8192,49.4687,37.6,76,98,23.31,AZ,1675807473
165,sabang,5.8933,95.3214,80.76,74,88,11.77,ID,1675807474
166,san quintin,30.4833,-115.95,64.24,37,0,9.66,MX,1675807474
167,codrington,-38.2667,141.9667,59.88,73,72,10.47,AU,1675807475
168,qaanaaq,77.484,-69.3632,-23.6,65,100,5.03,GL,1675807475
